Provinsi,Tahun,Produksi,Luas_Panen,Curah_Hujan,Kelembapan,Suhu_Rerata
Aceh,1993,1329536,323589,1627,82,26.06
Aceh,1994,1299699,329041,1521,82.12,26.92
Aceh,1995,1382905,339253,1476,82.72,26.27
Aceh,1996,1419128,348223,1557,83,26.08
Aceh,1997,1368074,337561,1339,82.46,26.31
Aceh,1998,1404580,365892,1465,82.6,26.84
Aceh,1999,1478712,359817,1778,82.79,26.14
Aceh,2000,1486909,336765,1974.7,90.6,27.1
Aceh,2001,1547499,295212,1688.7,69.48,28.9
Aceh,2002,1314165,315131,1296.8,68.75,29.2
Aceh,2003,1246614,367636,1507.2,70.66,29.4
Aceh,2004,1350748,370966,1097,80.84,29.4
Aceh,2005,1411650,337893,710.5,79.5,26.8
Aceh,2006,1552078,320789,506.5,80.8,26.73
Aceh,2007,1556858,360717,1414,81.5,26.38
Aceh,2008,1402287,329109,1270.4,78.5,27
Aceh,2009,1533369,359375,1577,78.7,26.9
Aceh,2010,1788738,352281,1986,81.4,27.1
Aceh,2011,1772962,380686,1268,79.4,27.1
Aceh,2012,1582393,387803,1098,79.6,26.9
Aceh,2013,2331046,419183,1623.6,80.7,27
Aceh,2014,1820062,376137,2264.4,78.3,27.1
Aceh,2015,1956940,461060,1575,80,27.1
Aceh,2016,2180754,293067,1096,83.32,27.12
Aceh,2017,2478922,294483,1905.9,85.57,26.51
Aceh,2018,1751996.94,329515.78,1427.8,83.98,26.48
Aceh,2019,1714437.6,310012.46,1931.4,83.9,26.65
Aceh,2020,1861567.1,317869.41,1619.2,80.82,25.41
"Sumatera Utara",1993,2918152,754569,2549.4,83.8,26.45
"Sumatera Utara",1994,3079960,792534,2166.5,83.79,26.4
"Sumatera Utara",1995,3134533,795183,2917.1,81.68,26.58
"Sumatera Utara",1996,3136760,790051,2326.5,81.31,26.33
"Sumatera Utara",1997,3212208,797545,1865,81.81,26.4
"Sumatera Utara",1998,3321049,823749,2496.9,83.53,27.16
"Sumatera Utara",1999,3451430,838626,3087.3,84.56,26.45
"Sumatera Utara",2000,3514253,847610,1289.5,82.94,27.7
"Sumatera Utara",2001,3291515,801948,3595.3,72.78,28.03
"Sumatera Utara",2002,3153305,765161,1944.9,72.31,28.45
"Sumatera Utara",2003,3403075,825188,3140.2,72.08,29.59
"Sumatera Utara",2004,3418782,826091,2406.9,80.79,29.27
"Sumatera Utara",2005,3447394,822073,776.7,83.8,27
"Sumatera Utara",2006,3007636,705023,222.5,81,27.8
"Sumatera Utara",2007,3265834,750232,2513,82,27
"Sumatera Utara",2008,3340794,748540,2442,81.4,26.9
"Sumatera Utara",2009,3527899,768407,2184,86,27.1
"Sumatera Utara",2010,3582302,754674,1903.3,78.55,27.18
"Sumatera Utara",2011,3607403,757547,2042,79,27.2
"Sumatera Utara",2012,3715514,765099,3175,76,27.3
"Sumatera Utara",2013,3727249,742968,2627,78.67,28.8
"Sumatera Utara",2014,3631039,717318,2148,79,27.9
"Sumatera Utara",2015,4044829,781769,975.9,86.9,27.4
"Sumatera Utara",2016,4387035.9,423029,2384,82,27.65
"Sumatera Utara",2017,4669777.5,415675,3190,84,27.5
"Sumatera Utara",2018,2108284.72,408176.45,2431,80,26.41
"Sumatera Utara",2019,2078901.59,413141.24,1401.6,86.53,27.03
"Sumatera Utara",2020,2076280.01,388591.22,1648.3,83.76,25.79
"Sumatera Barat",1993,1806424,394412,5110,89.77,24.7
"Sumatera Barat",1994,1747543,382740,4869.5,75.22,24.49
"Sumatera Barat",1995,1829192,400627,5022,87.68,24.82
"Sumatera Barat",1996,1971180,430343,3866,87.29,24.52
"Sumatera Barat",1997,1787719,395728,2945.1,87.97,24.69
"Sumatera Barat",1998,1807622,412810,5522,87.39,25.04
"Sumatera Barat",1999,1897678,432254,4327.5,80.89,22.48
"Sumatera Barat",2000,1759059,396919,3040.6,86.01,25.86
"Sumatera Barat",2001,1668955,376710,2811,71.08,28.17
"Sumatera Barat",2002,1875834,424253,4241.2,71.28,28.19
"Sumatera Barat",2003,1823739,411860,4927.2,71.91,29.17
"Sumatera Barat",2004,1875188,422582,4584.2,78.5,29.02
"Sumatera Barat",2005,1907390,426950,1533.6,78,25.9
"Sumatera Barat",2006,1889489,417846,776,79,26.05
"Sumatera Barat",2007,1938120,423655,4329,85.3,25.7
"Sumatera Barat",2008,1965634,421902,2552.5,86.2,25.4
"Sumatera Barat",2009,2105790,439542,4691,86.2,25.5
"Sumatera Barat",2010,2211248,460497,5228,87.2,25.8
"Sumatera Barat",2011,2279602,461709,4959.5,54.2,26
"Sumatera Barat",2012,2368390,476422,4339,87,25.2
"Sumatera Barat",2013,2430384,487820,4627.9,86.91,25.1
"Sumatera Barat",2014,2519020,503198,2838.4,85.35,25.7
"Sumatera Barat",2015,2550609,507545,3548,84,26.5
"Sumatera Barat",2016,2487929,222482,4205.2,76.49,23.26
"Sumatera Barat",2017,2810425,222021,4553,75.11,22.19
"Sumatera Barat",2018,1483076.48,313050.82,327.33,82.71,26.91
"Sumatera Barat",2019,1482996.01,311671.23,4757.5,87.73,25.61
"Sumatera Barat",2020,1450839.74,295664.47,4072.7,85.22,26.26
Riau,1993,436297,146133,2738.4,86.37,26
Riau,1994,445361,146177,1991.3,84.9,26.1
Riau,1995,458756,152204,3099.9,85.02,26.17
Riau,1996,461905,150354,2259.5,84.26,25.94
